Contig_Names,Name
s27732.ctg040583l,NA
s1.ctg067240l,NA
s34588.ctg051301l,NA
s32224.ctg047547l,NA
s22091.ctg032034l,NA
s1.ctg067631l,NA
s1942.ctg002774l,NA
s1.ctg062436l,NA
s20248.ctg029273l,NA
s209.ctg048920l,NA
s1.ctg038055l,NA
s1.ctg051845l,NA
s1.ctg007903l,NA
s15806.ctg022770l,NA
s29856.ctg043855l,NA
s16179.ctg023310l,NA
s32214.ctg047534l,NA
s14669.ctg021159l,NA
s3410.ctg004922l,NA
s51.ctg029161l,NA
s1.ctg019726l,NA
s1.ctg040028l,NA
s20976.ctg030352l,NA
s1.ctg064437l,NA
s52.ctg046704l,NA
s1.ctg025434l,NA
s10723.ctg015506l,NA
s840.ctg041143l,NA
s15233.ctg021950l,NA
s41030.ctg063279l,NA
s1515.ctg002137l,NA
s1.ctg048471l,NA
s29090.ctg042671l,NA
s5322.ctg007690l,NA
s1.ctg057071l,NA
s16890.ctg024357l,NA
s6338.ctg009170l,NA
s11215.ctg016237l,NA
s40322.ctg061671l,NA
s209.ctg013734l,NA
s43388.ctg068811l,NA
s1.ctg016695l,NA
s209.ctg067049l,NA
s1.ctg027770l,NA
s30848.ctg045408l,NA
s16034.ctg023094c,NA
s8387.ctg012165l,NA
s1.ctg046117l,NA
s1.ctg044878l,NA
s1.ctg020481l,NA
s1.ctg050381l,NA
s42772.ctg067267l,NA
s26238.ctg038310l,NA
s42121.ctg065750l,NA
s1.ctg063296l,NA
s6877.ctg009945l,NA
s1.ctg067750l,NA
s1.ctg057022l,NA
s1.ctg044818l,NA
s25170.ctg036720l,NA
s1.ctg045142l,NA
s32282.ctg047632l,NA
s1.ctg001838l,NA
s1.ctg035230l,NA
s1.ctg049007l,NA
s1.ctg038305l,NA
s1.ctg015841l,NA
s5335.ctg007710l,NA
s14718.ctg021230l,NA
s14425.ctg020819l,NA
s16406.ctg023665l,NA
s7833.ctg011349l,NA
s44770.ctg072553l,NA
s13221.ctg019070l,NA
s1.ctg014680l,NA
s38368.ctg057705l,NA
s1.ctg060723l,NA
s1.ctg039727l,NA
s1.ctg063206l,NA
s1.ctg034288l,NA
s1.ctg002784l,NA
s1.ctg022195l,NA
s18032.ctg026013l,NA
s4247.ctg006156l,NA
s1.ctg062287l,NA
s1.ctg000630l,NA
s1.ctg022422l,NA
s20814.ctg030119l,NA
s1.ctg032286l,NA
s1.ctg048672l,NA
s1.ctg027495l,NA
s1.ctg064220l,NA
s30762.ctg045278l,NA
s7026.ctg010162l,NA
s1.ctg032388l,NA
s2752.ctg003957l,NA
s1.ctg040895l,NA
s42983.ctg067779l,NA
s1.ctg008110l,NA
s22267.ctg032281l,NA
s41141.ctg063548l,NA
s1.ctg021548l,NA
s19784.ctg028602l,NA
s1.ctg069015l,NA
s1.ctg011650l,NA
s20345.ctg029405l,NA
s18574.ctg026802l,NA
s309.ctg000436l,NA
s32745.ctg048331l,NA
s1.ctg064671l,NA
s1.ctg038798l,NA
s34922.ctg051808l,NA
s4560.ctg006594l,NA
s1874.ctg002677l,NA
s1.ctg042868l,NA
s34464.ctg051104l,NA
s1.ctg010766l,NA
s1.ctg066968l,NA
s1.ctg056372l,NA
s1.ctg036559l,NA
s41210.ctg063717l,NA
s1.ctg005249l,NA
s1.ctg025888l,NA
s10797.ctg015609l,NA
s1.ctg009393l,NA
s1.ctg053987l,NA
s32316.ctg047691l,NA
s16983.ctg024480l,NA
s209.ctg054383l,NA
s209.ctg062351l,NA
s20390.ctg029478l,NA
s8919.ctg012943l,NA
s1.ctg016736l,NA
s1.ctg048693l,NA
s24704.ctg035948l,NA
s12800.ctg018470l,NA
s11690.ctg016912l,NA
s1.ctg014532l,NA
s14332.ctg020681l,NA
s29490.ctg043303l,NA
s1.ctg072515l,NA
s1.ctg002701l,NA
s1.ctg015360l,NA
s209.ctg072059l,NA
s34058.ctg050437l,NA
s1.ctg064988l,NA
s1.ctg070722l,NA
s1.ctg045348l,NA
s209.ctg035505l,NA
s1.ctg028676l,NA
s1.ctg026577l,NA
s1.ctg007500l,NA
s1.ctg059660l,NA
s1.ctg026125l,NA
s41756.ctg064936l,NA
s1.ctg044810l,NA
s14766.ctg021298l,NA
s1.ctg034050l,NA
s31886.ctg047029l,NA
s22812.ctg033089l,NA
s14864.ctg021440l,NA
s14236.ctg020548l,NA
s1.ctg062461l,NA
s9898.ctg014329l,NA
s1.ctg003857l,NA
s1.ctg011858l,NA
s209.ctg052685l,NA
s34882.ctg051739l,NA
s12456.ctg017972l,NA
s1.ctg041940l,NA
s29555.ctg043403l,NA
s26065.ctg038074l,NA
s16298.ctg023499l,NA
s1.ctg059278l,NA
s1.ctg058780l,NA
s27680.ctg040512l,NA
s20655.ctg029879l,NA
s1.ctg065297l,NA
s4824.ctg006974l,NA
s1.ctg049331l,NA
s911.ctg001281l,NA
s37131.ctg055569l,NA
s1.ctg036967l,NA
s1.ctg035208l,NA
s1.ctg061808l,NA
s1.ctg057851l,NA
s1.ctg020045l,NA
s24586.ctg035765l,NA
s1.ctg005596l,NA
s1.ctg042936l,NA
s1.ctg003328l,NA
s40005.ctg061005l,NA
s1.ctg054230l,NA
s1.ctg070944l,NA
s1.ctg012937l,NA
s1.ctg003097l,NA
s1.ctg059373l,NA
s1.ctg062484l,NA
s19937.ctg028811l,NA
s3053.ctg004398l,NA
s1.ctg061719l,NA
s1.ctg024113l,NA
s1.ctg047715l,NA
s1.ctg061008l,NA
s209.ctg065590l,NA
s7951.ctg011527l,NA
s3067.ctg004428l,NA
s1.ctg060430l,NA
s1.ctg052518l,NA
s1.ctg024873l,NA
s209.ctg008693l,NA
s18309.ctg026412l,NA
s25204.ctg036772l,NA
s37071.ctg055457l,NA
s5598.ctg008106l,NA
s1.ctg070927l,NA
s1.ctg043445l,NA
s11044.ctg015990l,NA
s23799.ctg034577l,NA
s1.ctg039315l,NA
s1.ctg034690l,NA
s20978.ctg030354l,NA
s1.ctg052873l,NA
s21466.ctg031103l,NA
s17227.ctg024828l,NA
s1.ctg003140l,NA
s1.ctg000276l,NA
s209.ctg067221l,NA
s1.ctg043391l,NA
s22710.ctg032937l,NA
s12979.ctg018720l,NA
s42207.ctg065940l,NA
s1.ctg048837l,NA
s1.ctg058307l,NA
s1.ctg014098l,NA
s4114.ctg035316l,NA
s37896.ctg056894l,NA
s26691.ctg039009l,NA
s1.ctg012576l,NA
s1.ctg066080l,NA
s1299.ctg056251l,NA
s1.ctg064539l,NA
s1.ctg010012l,NA
s30336.ctg044629l,NA
s1.ctg046090l,NA
s44057.ctg070607l,NA
s22061.ctg031991l,NA
s4613.ctg006687l,NA
s209.ctg018420l,NA
s1.ctg024972l,NA
s1.ctg009344l,NA
s1.ctg007207l,NA
s1.ctg060553l,NA
s6087.ctg008814l,NA
s1.ctg002100l,NA
s209.ctg066692l,NA
s30634.ctg045086l,NA
s1.ctg023205l,NA
s1.ctg057724l,NA
s43728.ctg069706l,NA
s1.ctg046493l,NA
s1.ctg000362l,NA
s5978.ctg008659l,NA
s27591.ctg040372l,NA
s1.ctg069243l,NA
s1.ctg050729l,NA
s1.ctg067854l,NA
s17226.ctg024825l,NA
s1.ctg007033l,NA
s1.ctg047207l,NA
s23096.ctg033536l,NA
s1.ctg026205l,NA
s33000.ctg048744l,NA
s12836.ctg018521l,NA
s1.ctg061702l,NA
s1.ctg020535l,NA
s1.ctg032459l,NA
s32741.ctg048323l,NA
s52.ctg016303l,NA
s1.ctg040835l,NA
s1.ctg039293l,NA
s209.ctg017748l,NA
s1.ctg017757l,NA
s18661.ctg026919l,NA
s1.ctg057860l,NA
s1.ctg023249l,NA
s1.ctg070556l,NA
s1.ctg028182l,NA
s1.ctg011102l,NA
s44281.ctg071254l,NA
s1.ctg046690l,NA
s1.ctg068753l,NA
s12652.ctg018258l,NA
s36532.ctg054499l,NA
s25649.ctg037450l,NA
s53.ctg007604l,NA
s41234.ctg063772l,NA
s1.ctg042660l,NA
s1.ctg064249l,NA
s1.ctg010491l,NA
s1.ctg047593l,NA
s1.ctg063780l,NA
s42222.ctg065966l,NA
s17928.ctg025861l,NA
s1.ctg006554l,NA
s36182.ctg053877l,NA
s25104.ctg036612l,NA
s1.ctg034276l,NA
s43129.ctg068144l,NA
s35095.ctg052102l,NA
s14164.ctg020444l,NA
s209.ctg002449l,NA
s38217.ctg057451l,NA
s41774.ctg064989l,NA
s40571.ctg062227l,NA
s26265.ctg038360l,NA
s1.ctg004911l,NA
s4343.ctg006289l,NA
s1.ctg069923l,NA
s20262.ctg029291l,NA
s17968.ctg025918l,NA
s1.ctg070908l,NA
s1.ctg038730l,NA
s1.ctg045468l,NA
s1.ctg017333l,NA
s1.ctg055065l,NA
s35350.ctg052528l,NA
s1.ctg057796l,NA
s20686.ctg029933l,NA
s32516.ctg047996l,NA
s1.ctg065228l,NA
s41236.ctg063779l,NA
s1.ctg004500l,NA
s1.ctg046134l,NA
s1.ctg027319l,NA
s1.ctg021533l,NA
s1.ctg024074l,NA
s7668.ctg011113l,NA
s1.ctg072373l,NA
s16982.ctg024479l,NA
s13766.ctg019865l,NA
s20210.ctg029214c,NA
s1.ctg039681l,NA
s1.ctg025249l,NA
s15412.ctg022211l,NA
s209.ctg005895l,NA
s1.ctg058653l,NA
s29610.ctg043485l,NA
s13590.ctg019619l,NA
s1.ctg020735l,NA
s23943.ctg034789l,NA
s1.ctg003360l,NA
s1.ctg054747l,NA
s178.ctg000235l,NA
s37434.ctg056095l,NA
s1.ctg034642l,NA
s829.ctg026264l,NA
s477.ctg000685l,NA
s2969.ctg004281l,NA
s1.ctg020897l,NA
s1.ctg028323l,NA
s1.ctg017164l,NA
